"","longitude","latitude","examined","positive","prev","alt","temp","prec","hum","pop","dist_aqua"
"1",31.0572,-15.1103,11,3,0.272727272727273,915,28.6746959686279,90.0583343505859,64.8833312988281,6.9477858543396,49.8110008239746
"2",31.6764,-15.7569,7,0,0,437,31.2485675811768,67.4166641235352,64.4250030517578,6.59161233901978,2.06900000572205
"3",31.6786,-22.0792,33,5,0.151515151515152,454,30.507682800293,40.9000015258789,69.4833297729492,33.274959564209,6.1710000038147
"4",31.689,-22.0767,29,3,0.103448275862069,462,30.507682800293,40.9000015258789,69.4833297729492,26.3447017669678,6.41900014877319
"5",31.7461,-15.8078,67,24,0.358208955223881,455,31.9087333679199,67.4166641235352,64.4250030517578,20.4278888702393,6.58099985122681
"6",31.8991,-15.1736,12,3,0.25,851,29.2918643951416,95.1333312988281,64.7083358764648,12.9019222259521,40.3339996337891
"7",31.984,-22.8618,37,5,0.135135135135135,170,31.8426704406738,34.8499984741211,69.2416687011719,4.8047981262207,1.87600004673004
"8",31.991,-25.9536,10,0,0,593,26.6839027404785,73.4166641235352,68.875,33.0646858215332,3.53399991989136
"9",31.9935,-25.4438,4,0,0,142,29.3591918945312,50.875,69.4416656494141,386.050140380859,0.46399998664856
"10",32.0151,-25.9772,12,0,0,549,27.5057487487793,71.1916656494141,69.841667175293,100.505027770996,2.24600005149841
"11",32.1808,-26.0947,2,0,0,60,30.1350135803223,61.375,71.1666641235352,11.3205137252808,0.879000008106232
"12",32.1873,-26.7663,6,0,0,107,29.516242980957,53.0250015258789,71.3583297729492,4.95254945755005,7.88100004196167
"13",32.2365,-25.5958,10,1,0.1,103,30.2355499267578,59.658332824707,71.4000015258789,57.9990615844727,0.934000015258789
"14",32.3404,-26.0422,12,0,0,15,30.308422088623,62.5083351135254,72.6333312988281,134.972427368164,1.74600005149841
"15",32.363,-14.3937,10,10,1,866,30.1987285614014,94.0583343505859,64.0999984741211,12.3874521255493,12.0279998779297
"16",32.3874,-26.1087,8,0,0,37,29.9045848846436,62.5083351135254,72.6333312988281,40.7387886047363,2.30200004577637
"17",32.4228,-25.8654,10,2,0.2,28,30.5308742523193,62.8666648864746,72.75,82.5745010375977,2.53399991989136
"18",32.4258,-25.9836,5,0,0,17,30.1581497192383,62.8666648864746,72.75,498.488433837891,1.37199997901917
"19",32.447,-25.9107,9,1,0.111111111111111,30,30.49241065979,62.8666648864746,72.75,3624.12451171875,1.30499994754791
"20",32.4491,-25.9589,4,0,0,29,30.1581497192383,62.8666648864746,72.75,4690.177734375,0.819999992847443
"21",32.4539,-23.4691,21,8,0.380952380952381,97,32.053108215332,37.8666648864746,71.3166656494141,8.56334781646729,0.252000004053116
"22",32.4548,-25.9276,12,0,0,31,30.3176136016846,62.8666648864746,72.75,4186.96240234375,2.01300001144409
"23",32.455,-25.9209,6,0,0,31,30.3176136016846,62.8666648864746,72.75,3142.896484375,1.9190000295639
"24",32.4673,-25.9159,9,0,0,28,30.3680534362793,62.8666648864746,72.75,3264.6025390625,3.21900010108948
"25",32.4686,-25.9762,1,0,0,7,29.8490028381348,62.8666648864746,72.75,2240.35034179688,0.837000012397766
"26",32.4687,-25.9625,10,0,0,21,29.8490028381348,62.8666648864746,72.75,4832.6220703125,1.26400005817413
"27",32.469,-23.4679,11,5,0.454545454545455,108,32.0591812133789,37.8666648864746,71.3166656494141,8.67359447479248,1.66999995708466
"28",32.5092,-22.2597,18,3,0.166666666666667,174,31.9317474365234,38.6083335876465,72.3499984741211,0.666436970233917,1.57599997520447
"29",32.5128,-25.9028,7,0,0,30,30.2576961517334,65.9166641235352,73.9833297729492,484.491912841797,0.370999991893768
"30",32.5304,-23.8393,12,2,0.166666666666667,77,31.7849979400635,44.3499984741211,72.125,5.6428542137146,0.83899998664856
"31",32.5433,-25.9297,10,0,0,27,29.9228591918945,65.9166641235352,73.9833297729492,3518.52905273438,1.05400002002716
"32",32.5519,-25.9415,10,0,0,33,29.9228591918945,65.9166641235352,73.9833297729492,12131.7060546875,1.625
"33",32.554,-25.9113,12,1,0.0833333333333333,16,30.2130069732666,65.9166641235352,73.9833297729492,2985.05151367188,1.88499999046326
"34",32.5566,-25.917,8,1,0.125,26,29.9228591918945,65.9166641235352,73.9833297729492,2985.05151367188,1.89300000667572
"35",32.559,-25.9282,13,0,0,35,29.9228591918945,65.9166641235352,73.9833297729492,9482.7080078125,2.21399998664856
"36",32.563,-25.9459,7,2,0.285714285714286,34,29.9228591918945,65.9166641235352,73.9833297729492,11704.154296875,2.28200006484985
"37",32.5704,-25.9344,11,0,0,33,29.9228591918945,65.9166641235352,73.9833297729492,10544.859375,3.46199989318848
"38",32.5715,-25.9075,8,0,0,39,30.2130069732666,65.9166641235352,73.9833297729492,2423.28686523438,3.65300011634827
"39",32.5728,-25.8812,13,2,0.153846153846154,30,30.2130069732666,65.9166641235352,73.9833297729492,3195.119140625,2.25099992752075
"40",32.5808,-25.9612,1,0,0,54,29.6676406860352,65.9166641235352,73.9833297729492,4488.64599609375,2.06599998474121
"41",32.5818,-25.9656,3,0,0,54,29.6676406860352,65.9166641235352,73.9833297729492,4234.85986328125,1.54200005531311
"42",32.5837,-25.8899,10,0,0,46,29.9843158721924,65.9166641235352,73.9833297729492,2553.53344726562,2.55999994277954
"43",32.5922,-25.9144,6,0,0,44,29.9843158721924,65.9166641235352,73.9833297729492,3365.00244140625,3.83200001716614
"44",32.5938,-25.9197,5,0,0,52,29.7830772399902,65.9166641235352,73.9833297729492,3167.869140625,3.5
"45",32.5953,-23.8517,31,2,0.0645161290322581,65,32.1275863647461,44.3499984741211,72.125,26.2886371612549,0.822000026702881
"46",32.5988,-25.9603,1,0,0,59,29.4295673370361,65.9166641235352,73.9833297729492,3139.83911132812,0.533999979496002
"47",32.604,-25.9398,10,0,0,45,29.7830772399902,65.9166641235352,73.9833297729492,7444.859375,1.61300003528595
"48",32.6126,-25.9102,17,1,0.0588235294117647,46,29.9843158721924,65.9166641235352,73.9833297729492,3744.265625,2.2960000038147
"49",32.6173,-25.9373,12,0,0,6,29.7830772399902,65.9166641235352,73.9833297729492,6543.60986328125,0.813000023365021
"50",32.624,-25.0541,9,1,0.111111111111111,31,30.9044723510742,64.1333312988281,72.8499984741211,41.5925559997559,0.537999987602234
"51",32.6243,-25.8975,4,0,0,33,29.9843158721924,65.9166641235352,73.9833297729492,3014.41064453125,2.36100006103516
"52",32.6273,-25.7531,10,0,0,41,29.948766708374,66.625,73.6416702270508,340.921417236328,0.814000010490417
"53",32.6365,-25.0214,4,0,0,41,30.9932613372803,64.1333312988281,72.8499984741211,148.670028686523,1.36500000953674
"54",32.638,-25.8118,13,2,0.153846153846154,48,30.0001640319824,66.625,73.6416702270508,411.105560302734,3.95499992370605
"55",32.6434,-25.0174,7,0,0,38,30.9932613372803,64.1333312988281,72.8499984741211,146.770751953125,1.62899994850159
"56",32.6467,-25.0026,11,0,0,45,30.9932613372803,64.1333312988281,72.8499984741211,48.8393592834473,1.63900005817413
"57",32.6834,-24.8668,134,89,0.664179104477612,46,30.6622295379639,66.1416702270508,73.4333343505859,5.12864542007446,7.43599987030029
"58",32.7414,-25.5037,10,1,0.1,31,30.097261428833,68.3833312988281,74.2333297729492,22.3192024230957,2.06200003623962
"59",32.7547,-24.5363,16,0,0,47,31.0508785247803,59.5250015258789,73.125,10.3251838684082,5.19199991226196
"60",32.7614,-20.6832,5,2,0.4,352,30.7526950836182,55.6166648864746,73.9749984741211,40.7071075439453,3.2960000038147
"61",32.7657,-15.5934,14,1,0.0714285714285714,882,31.5710945129395,67.2583312988281,63.5083351135254,231.785461425781,3.62800002098083
"62",32.7738,-24.5094,3,0,0,45,31.0508785247803,59.5250015258789,73.125,9.22426795959473,5.99599981307983
"63",32.7738,-20.5345,5,1,0.2,568,28.4898166656494,65.033332824707,73.9583358764648,25.1535339355469,10.5459995269775
"64",32.7805,-25.4328,1499,436,0.290860573715811,32,30.1759300231934,67.6999969482422,73.9583358764648,566.616271972656,2.43199992179871
"65",32.7867,-25.3553,7,0,0,31,30.268461227417,67.6999969482422,73.9583358764648,58.1374015808105,6.05900001525879
"66",32.7995,-25.157,7,1,0.142857142857143,27,30.7034511566162,67.408332824707,73.591667175293,94.8804321289062,2.49600005149841
"67",32.8151,-25.3868,14,0,0,24,30.2291984558105,67.6999969482422,73.9583358764648,464.055145263672,1.90699994564056
"68",32.818,-26.6345,7,0,0,28,28.3701591491699,68.8916702270508,74.1166687011719,1.5799343585968,1.17599999904633
"69",32.8182,-16.4247,43,18,0.418604651162791,280,33.3713417053223,61.0583343505859,63.7916679382324,2.95242166519165,0.96399998664856
"70",32.8392,-25.5391,6,0,0,12,29.8858737945557,68.3833312988281,74.2333297729492,8.85886573791504,2.87400007247925
"71",32.8549,-25.2688,9,2,0.222222222222222,32,30.3875255584717,71.9583358764648,74.4499969482422,160.013076782227,0.83899998664856
"72",32.8698,-19.5426,6,0,0,1131,22.852933883667,81.2750015258789,73.8666687011719,6.9483060836792,29.6860008239746
"73",32.8702,-18.9395,3,0,0,721,28.420202255249,112.324996948242,73.1999969482422,667.197265625,1.87399995326996
"74",32.8814,-20.7632,4,1,0.25,331,30.4666271209717,58.716667175293,74.2083358764648,15.9297761917114,8.41899967193604
"75",32.9036,-24.4903,14,8,0.571428571428571,38,31.3774108886719,52.6500015258789,73.625,63.3088035583496,2.56100010871887
"76",32.9167,-16.9625,46,17,0.369565217391304,633,30.0760917663574,77.1333312988281,66.158332824707,13.4853134155273,7.05999994277954
"77",32.9338,-18.9575,1,0,0,727,28.7353210449219,112.324996948242,73.1999969482422,91.2543182373047,2.74699997901917
"78",32.9346,-18.9929,6,2,0.333333333333333,731,28.3851203918457,112.324996948242,73.1999969482422,26.7167015075684,1.97699999809265
"79",32.9569,-24.4729,19,11,0.578947368421053,33,31.4678592681885,52.6500015258789,73.625,25.4198322296143,1.48300004005432
"80",32.964,-25.1846,8,2,0.25,11,30.0752696990967,71.9583358764648,74.4499969482422,15.5801639556885,1.27300000190735
"81",32.9696,-25.4694,184,116,0.630434782608696,17,29.6266136169434,71.8916702270508,74.6500015258789,8.63700294494629,0.870999991893768
"82",33.0057,-24.5353,38,22,0.578947368421053,31,31.2866153717041,58.0999984741211,74.3083343505859,930.064636230469,2.5550000667572
"83",33.0104,-17.9877,64,22,0.34375,1328,24.4059352874756,141.433334350586,71.091667175293,3.02969765663147,7.59700012207031
"84",33.0153,-17.8214,77,27,0.350649350649351,850,27.6433219909668,128.991668701172,70.1333312988281,15.8574600219727,15.4619998931885
"85",33.0497,-24.4817,10,0,0,33,31.4358654022217,52.8333320617676,74.158332824707,65.7870788574219,1.42700004577637
"86",33.0533,-25.0568,7,0,0,63,30.0566253662109,77.3666687011719,74.8166656494141,162.227264404297,6.30900001525879
"87",33.0843,-20.2143,2,2,1,386,29.8385772705078,68.3000030517578,74.25,15.7287702560425,12.9130001068115
"88",33.0989,-25.027,11,0,0,62,29.8904933929443,77.3666687011719,74.8166656494141,833.735900878906,8.94499969482422
"89",33.0989,-16.6472,44,13,0.295454545454545,231,33.3717460632324,63.3916664123535,63.5999984741211,11.6815433502197,1.15100002288818
"90",33.106,-15.8428,40,10,0.25,333,34.1775817871094,59.0666656494141,62.3666648864746,8.33003997802734,7.54099988937378
"91",33.1691,-18.0617,6,3,0.5,616,29.9084415435791,141.975006103516,70.6750030517578,551.723876953125,5.06899976730347
"92",33.1785,-18.0515,5,2,0.4,595,29.9084415435791,141.975006103516,70.6750030517578,454.812286376953,4.39599990844727
"93",33.2089,-17.9253,121,50,0.413223140495868,597,29.9210681915283,131.925003051758,70.1416702270508,36.4521446228027,11.5780000686646
"94",33.2146,-21.3274,2,0,0,148,31.3983592987061,53.8833351135254,74.6999969482422,3.28356719017029,16.0400009155273
"95",33.237,-24.6359,10,6,0.6,24,30.8049659729004,60.283332824707,74.8333358764648,22.9175186157227,0.370999991893768
"96",33.2796,-16.8373,58,31,0.53448275862069,247,33.0984840393066,74.6500015258789,65.2416687011719,22.9595813751221,0.717000007629395
"97",33.3178,-24.8635,10,1,0.1,86,29.797456741333,75.8083343505859,75.1416702270508,32.0415191650391,9.57299995422363
"98",33.3179,-19.4624,4,2,0.5,553,29.376781463623,78.7416687011719,73.216667175293,40.6973762512207,3.26600003242493
