"","longitude","latitude","altitude","temp","prec","hum","pop","dist_aqua"
"1",30.2,-15.1,365.4,33.1615333557129,62.0583343505859,64.5999984741211,5.79045057296753,1.48599994182587
"2",30.2,-15.0333333333333,387,30.8120174407959,62.0583343505859,64.5999984741211,6.52664661407471,3.49399995803833
"3",30.2,-14.9666666666667,434,31.9962596893311,66.5,64.4499969482422,6.52664661407471,3.49399995803833
"4",30.2666666666667,-15.2333333333333,363.321428571429,33.163745880127,58.4833335876465,64.7750015258789,0.485186100006104,5.25600004196167
"5",30.2666666666667,-15.1666666666667,367.224489795918,33.1257858276367,58.4833335876465,64.7750015258789,6.17719459533691,0.653999984264374
"6",30.2666666666667,-15.1,380.109375,33.0828590393066,62.0583343505859,64.5999984741211,5.79045057296753,1.48599994182587
"7",30.2666666666667,-15.0333333333333,441.953125,32.6316032409668,62.0583343505859,64.5999984741211,6.52664661407471,3.49399995803833
"8",30.2666666666667,-14.9666666666667,482.875,32.4563102722168,66.5,64.4499969482422,1.80381226539612,11.5559997558594
"9",30.3333333333333,-15.3,367.857142857143,33.0777702331543,62.5166664123535,64.7750015258789,2.66163563728333,4.78900003433228
"10",30.3333333333333,-15.2333333333333,398.296875,32.884147644043,62.5166664123535,64.7750015258789,4.07138633728027,5.25600004196167
"11",30.3333333333333,-15.1666666666667,400.828125,32.6388397216797,62.5166664123535,64.7750015258789,5.03602695465088,5.47100019454956
"12",30.3333333333333,-15.1,432.96875,32.6075553894043,66.0250015258789,64.5999984741211,2.64269423484802,4.125
"13",30.3333333333333,-15.0333333333333,548.125,31.7656059265137,66.0250015258789,64.5999984741211,2.686283826828,10.2510004043579
"14",30.3333333333333,-14.9666666666667,522.78125,31.8006324768066,70.658332824707,64.4499969482422,1.80381226539612,11.5559997558594
"15",30.4,-15.9666666666667,410.125,31.2282905578613,64.3666687011719,65.783332824707,5.38900089263916,0.46399998664856
"16",30.4,-15.9,408.75,31.5085144042969,64.3666687011719,65.783332824707,3.82433438301086,5.46799993515015
"17",30.4,-15.8333333333333,417.5,31.8524589538574,64.3666687011719,65.783332824707,5.03913688659668,11.2440004348755
"18",30.4,-15.7666666666667,426.25,32.3806838989258,62.3083343505859,65.4333343505859,6.11793804168701,12.3020000457764
"19",30.4,-15.7,373,33.0096893310547,62.3083343505859,65.4333343505859,21.1052188873291,5.20900011062622
"20",30.4,-15.6333333333333,361.090909090909,32.9193801879883,61.2666664123535,65.1999969482422,9.04541397094727,0
"21",30.4,-15.5666666666667,428.44,32.539421081543,61.2666664123535,65.1999969482422,9.9274730682373,0.927999973297119
"22",30.4,-15.5,422.477272727273,31.9057769775391,61.2666664123535,65.1999969482422,8.71474266052246,1.13499999046326
"23",30.4,-15.4333333333333,387,33.117488861084,60.5083351135254,64.9499969482422,4.51633787155151,1.7610000371933
"24",30.4,-15.3666666666667,368.884615384615,33.1498680114746,60.5083351135254,64.9499969482422,3.8088161945343,1.25600004196167
"25",30.4,-15.3,401.953125,32.9375534057617,62.5166664123535,64.7750015258789,5.44174146652222,4.78900003433228
"26",30.4,-15.2333333333333,459.03125,32.5453491210938,62.5166664123535,64.7750015258789,6.21298217773438,10.0860004425049
"27",30.4,-15.1666666666667,442.640625,32.397533416748,62.5166664123535,64.7750015258789,1.81824743747711,6.13399982452393
"28",30.4,-15.1,428.59375,32.6015701293945,66.0250015258789,64.5999984741211,2.37978839874268,4.97200012207031
"29",30.4,-15.0333333333333,530.34375,31.5462741851807,66.0250015258789,64.5999984741211,1.41597461700439,11.0050001144409
"30",30.4,-14.9666666666667,594.22641509434,31.2864608764648,70.658332824707,64.4499969482422,1.83436799049377,16.6609992980957
"31",30.4666666666667,-15.9666666666667,383.78125,31.5890922546387,64.3666687011719,65.783332824707,5.38900089263916,0.46399998664856
"32",30.4666666666667,-15.9,389.171875,31.9277896881104,64.3666687011719,65.783332824707,3.82433438301086,5.46799993515015
"33",30.4666666666667,-15.8333333333333,391.140625,32.089469909668,64.3666687011719,65.783332824707,5.03913688659668,11.2440004348755
"34",30.4666666666667,-15.7666666666667,404.71875,32.2028350830078,62.3083343505859,65.4333343505859,6.11793804168701,12.3020000457764
"35",30.4666666666667,-15.7,368.875,32.5095481872559,62.3083343505859,65.4333343505859,21.1052188873291,5.20900011062622
"36",30.4666666666667,-15.6333333333333,359.828125,32.5641326904297,61.2666664123535,65.1999969482422,9.04541397094727,0
"37",30.4666666666667,-15.5666666666667,509.09375,31.7452964782715,61.2666664123535,65.1999969482422,8.65287017822266,6.20300006866455
"38",30.4666666666667,-15.5,399.03125,32.6895446777344,61.2666664123535,65.1999969482422,6.28478384017944,6.84600019454956
"39",30.4666666666667,-15.4333333333333,424.171875,32.5393753051758,60.5083351135254,64.9499969482422,4.66297483444214,7.77400016784668
"40",30.4666666666667,-15.3666666666667,445.125,32.1675415039062,60.5083351135254,64.9499969482422,3.72392296791077,8.40900039672852
"41",30.4666666666667,-15.3,495.046875,31.9747886657715,62.5166664123535,64.7750015258789,1.97761106491089,10.8120002746582
"42",30.4666666666667,-15.2333333333333,511.828125,31.5680828094482,62.5166664123535,64.7750015258789,1.89405155181885,14.9680004119873
"43",30.4666666666667,-15.1666666666667,513.859375,31.4769191741943,62.5166664123535,64.7750015258789,1.55007815361023,12.1639995574951
"44",30.4666666666667,-15.1,492.296875,31.8122653961182,66.0250015258789,64.5999984741211,1.98431956768036,11.6219997406006
"45",30.4666666666667,-15.0333333333333,502.265625,31.9262771606445,66.0250015258789,64.5999984741211,1.30205023288727,15.2150001525879
